,S&P 500,iShares Global Tech ETF,iShares Global Healthcare ETF,FTSE 100,ESTX 50 PR.EUR,Nikkei 225,iShares MSCI Emerging Markets ETF,U.S. Treasury Bond Futures,ASI Asia Pacific ex-Japan Tracker Fund,Alphabet Inc.,Facebook Inc.,Microsoft Corporation,Snap Inc.,Spotify Technology S.A.,"Netflix, Inc.",Apple Inc.,"Datadog, Inc",MSCI World ESG Leaders,Lyxor Core FTSE Actuaries UK Gilts 0-5Y,Backtested strategy
2021-02-12,7.619417163399537e-05,7.135429943467158e-05,0.00012028151593148929,0.00015136216964866476,0.0016304223323943688,-0.0003616080477306539,1.4003074938337063e-05,-0.00010576875970893935,0.0,0.00014493843397311087,1.5031823436616785e-05,7.557480837864991e-05,-0.00023715856997619006,0.0013338675838728813,-7.091538938731304e-05,6.56311919909624e-05,-0.0022876657259331763,6.830332792676385e-05,-4.483038429065461e-06,0.0006993652023951739
2021-02-15,0.0,0.0,0.0,0.0004081562256746716,0.0026121970421172647,0.004766099429596558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.971253900623073e-06,0.007777481443487872
2021-02-16,-9.207160193128817e-06,-1.5009006304516111e-05,-0.00011527566700085945,-1.7236690172152636e-05,-0.0005225391309212525,0.003180388166818055,3.917452373218135e-05,-0.00020076257035120745,0.00014864506748108407,0.0003124434215798815,0.0004740576804008043,-0.00019458521737967852,0.0007694222291881952,0.002344155599878261,5.046692151979734e-05,-0.0005951124936867579,-0.0026653722925956617,2.863908678892884e-05,-6.730603988874452e-06,0.003005561864793099
2021-02-17,-5.182041826151526e-06,-0.0001962923684241304,-1.8659421433547868e-05,-9.106599597519962e-05,-0.00178234148696304,-0.0014372299742754229,5.582637890591704e-06,3.0800903336086045e-05,5.8173927592260334e-05,0.00011163816205103845,-5.3953462641582165e-05,0.00016110673084044212,-8.133559639004273e-05,0.00023426242194929487,-0.00039389637309270525,-0.0006520275492605764,-0.0023640064322638424,-3.93084682452673e-05,1.122294208350572e-05,-0.00650251144504829
2021-02-18,-7.141977718046452e-05,-7.299375357662165e-05,-9.755652076014297e-05,-0.00022582036435822204,-0.0012718183468379603,-0.0004619222629825896,-0.00022323743230657876,9.222707284802224e-06,-0.00024049400549755654,-0.00019290891000003934,-0.0005646454406574315,-6.20481047417969e-05,0.0001357520379807367,-4.953602071654896e-05,-0.00020912778434834602,-0.0003191591615468488,0.0018280390911210006,-5.731515598746671e-05,-1.7946588629380827e-05,-0.002164935793741456
2021-02-19,-3.000028164760771e-05,2.902502938541085e-05,-0.0001461780703379445,1.6619877431423506e-05,0.0022032332692610893,-0.0017997367022662418,0.00010469182918905506,-0.000138261767739366,-0.00013145197739687826,-0.000280320034661688,-0.0010741132331368987,-0.00042746329430021673,0.002392594163976993,0.001552964952867577,-0.0005392671990602835,4.557964868018097e-05,-0.0007201345104910862,0.0,-1.5719923154617595e-05,0.0010420617765989017
2021-02-22,-0.000125067536977552,-0.00034614054446613645,-8.640057621572279e-05,-2.881111981711627e-05,-0.0009168410808187223,0.0011475781994351344,-0.0004751131822334586,-7.127644182044552e-05,-0.00018175395398181303,-0.0006377373533669532,-0.00017378269448332202,-0.0009906910767768485,-0.0018279946287217213,-0.0022853116259363604,-0.00044053476959779626,-0.0011012101003149654,-0.002890546851668568,-0.00010425256141211923,4.49667545092683e-06,-0.011531391223723559
2021-02-23,2.0319134679581767e-05,-0.00011011357058219595,-7.626832115495907e-05,3.3509729090302055e-05,-0.000726847652551639,0.0,7.24099503935309e-05,-2.178885303934773e-05,-0.00010850438723927164,0.00010702655894059135,0.0007849999592402312,-0.00019540090953347586,0.006302047427450699,-0.002206008079405133,0.0008563988463731131,-4.106096097394903e-05,-0.0005863588318260766,3.618463163969887e-06,2.2481622545875436e-06,0.00411022666528056
2021-02-24,0.00018359599948893597,0.00022382725126139617,7.662967744655565e-05,8.079603356234767e-05,0.0011453164272708033,-0.004005963686397952,-0.0001038064654172499,-6.233784675960118e-05,-0.00030586422632169206,0.00043381023673877834,-0.00021544872901310656,0.00020277789718536527,-0.0007896056921726307,-0.0002734000072316062,0.0004912363357922608,-0.00014974153341057399,0.00039690600780979907,0.00014831512382434012,4.493003255082921e-06,-0.002518464193088747
2021-02-25,-0.0003959094435210338,-0.0005405808857976027,-0.00017372581744338507,-1.7001790371511832e-05,-0.0013979579097611052,0.004174246170944825,-0.00036856986096571497,-0.00018460818459371697,0.00020827653396442354,-0.001125480485210151,-0.0013450243807201425,-0.0008760105551988232,-0.00507412838155347,-0.005363902384034705,-0.00044806589159962485,-0.001285380199133177,-0.0024905588876694036,-0.00035128806342284646,-3.594213036304841e-05,-0.017091612546450214
2021-02-26,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.01714375528447646,0.00016245274136341483,0.00034512461937944436,0.0004441247634452061,0.0022763256949608476,0.0004276387880585735,-0.0008615367599175202,6.694725791218153e-05,0.0001294749473684198,-0.0,-0.0,-0.014153203231905893
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.007037573096980791,0.001315260501751125,0.0008489258374529496,0.0005886909444213728,0.0009229307927172208,0.0013566263713753243,0.0013128001614168565,0.0016155364558686385,0.0006917504164448007,0.0,0.0,0.015690094578429077
2021-03-02,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.004080721185617388,-0.0001634367918343221,-0.0006692843506204493,-0.00038870701945172166,-0.0019438992486473128,0.00013632884157770917,-0.0003072796642231528,-0.000626808148966888,-0.0012601164710571,-0.0,0.0,-0.0011424816676058503
2021-03-03,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.007841617588933184,-0.0014200552448575224,-0.0004158296525096505,-0.0008094237742089882,-0.00417609842830054,-0.002091466884291708,-0.0029703181132358565,-0.0007336963717707817,-0.0011260833894538912,-0.0,-0.0,-0.0059013542696957555
2021-03-04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012722180066284724,0.0006625553921163689,0.00026193308387403744,-0.00010942200919512368,-0.0023092312387775313,-0.0015217806292046538,-0.0010843098970127782,-0.00047435928642426044,-0.0016666666666666674,-0.0,0.0,-0.01896346131757533
2021-03-05,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0032693450345014315,0.0017407712145370553,0.0007731699596431141,0.0006443796215280084,-0.0002911096892048205,-0.0010557522895043477,0.0005984868717461018,0.00032215278237193696,-0.0009882363529411763,0.0,-0.0,-0.0015254829163255594
2021-03-08,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.010129938922605636,-0.00240080794277778,-0.0010182383495468406,-0.0005453368596880171,-0.004743166601761604,-0.0018164982944087952,-0.002679373401796409,-0.0012502063632153955,-0.001708029259417124,-0.0,0.0,-0.0262915959952176
2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005504135279870021,0.0008456771781817951,0.0012255679857864354,0.0008430450689881285,0.003868406169796055,0.0017709906860165464,0.0015944720890549691,0.0012194917874770136,0.0017337473581171547,0.0,0.0,0.007597263043548077
